Date,Year,Month,Day,Daily_Rainfall_Total_mm,Highest_30_Min_Rainfall_mm,Highest_60_Min_Rainfall_mm,Highest_120_Min_Rainfall_mm,Mean_Temperature_C,Maximum_Temperature_C,Minimum_Temperature_C,Mean_Wind_Speed_kmh,Max_Wind_Speed_kmh
1999_03_09,1999,3,9,6.453846154,0,0,0,26.25,31.96,23.6,7.04,29.2
1999_03_10,1999,3,10,9.088461538,0,0,0,26.475,32.22,23.2,7.1,26.6
1999_03_11,1999,3,11,7.734615385,0,0,0,26.5,33.34,23.58,7.32,38.5
1999_03_12,1999,3,12,14.01923077,0,0,0,25.5,30.48,23.36,6.78,33.1
1999_03_13,1999,3,13,16.83461538,0,0,0,26.375,32.42,23.08,6.4,27
1999_03_14,1999,3,14,0,0,0,0,27.475,33.16,23.7,5.18,18.4
1999_03_15,1999,3,15,8.426923077,0,0,0,26.125,31.8,22.84,5.8,49.3
1999_03_16,1999,3,16,0.619230769,0,0,0,26.875,32.86,22.92,7.52,34.9
1999_03_17,1999,3,17,8.969230769,0,0,0,27.925,33.12,24.1,7.78,28.8
1999_03_18,1999,3,18,2.823076923,0,0,0,28.175,33.8,24.66,7,29.2
1999_03_19,1999,3,19,4.380769231,0,0,0,27.9,32.92,24.52,8.68,38.5
1999_03_20,1999,3,20,0,0,0,0,27.95,32.8,24.08,12.62,39.6
1999_03_21,1999,3,21,0,0,0,0,28.75,32.56,25.64,7.2,22
1999_03_22,1999,3,22,3.146153846,0,0,0,27.5,30.5,25.22,5.48,22.3
1999_03_23,1999,3,23,18.26153846,0,0,0,26.075,31.12,23.82,7,43.2
1999_03_24,1999,3,24,0.061538462,0,0,0,26.75,30.56,23.86,5.68,24.1
1999_03_25,1999,3,25,10.49615385,0,0,0,26.8,33.3,23.9,7.86,34.2
1999_03_26,1999,3,26,3.796153846,0,0,0,26.6,30.94,23.6,6.76,32.4
1999_03_27,1999,3,27,1.134615385,0,0,0,27.875,32.36,23.82,6.1,27
1999_03_28,1999,3,28,8.326923077,0,0,0,26.25,30.24,24,6.26,23
1999_03_29,1999,3,29,28.83846154,0,0,0,25.575,31.48,23.34,8.52,47.2
1999_03_30,1999,3,30,15.3,0,0,0,26.325,32.66,23.9,6.84,21.6
1999_03_31,1999,3,31,29.10769231,0,0,0,26.4,33.34,23.2,6.78,32
1999_04_01,1999,4,1,16.69615385,0,0,0,25.3,27.68,22.74,7.3,43.9
1999_04_02,1999,4,2,0.273076923,0,0,0,27.775,32.76,23.92,5.24,17.3
1999_04_03,1999,4,3,6.996153846,0,0,0,26.55,32.88,24.38,6.8,33.8
1999_04_04,1999,4,4,0.434615385,0,0,0,27.3,32.66,24.14,9.26,34.2
1999_04_05,1999,4,5,12.13846154,0,0,0,27.225,33.18,23.52,8.06,46.8
1999_04_06,1999,4,6,17.78076923,0,0,0,28.4,33.52,24.08,8.52,30.6
