Date,Year,Month,Day,Daily_Rainfall_Total_mm,Highest_30_Min_Rainfall_mm,Highest_60_Min_Rainfall_mm,Highest_120_Min_Rainfall_mm,Mean_Temperature_C,Maximum_Temperature_C,Minimum_Temperature_C,Mean_Wind_Speed_kmh,Max_Wind_Speed_kmh
2003_06_20,2003,6,20,0.003846154,0,0,0,29.325,34.44,25.26,7.9,28.8
2003_06_21,2003,6,21,0.25,0,0,0,28.675,33.64,25.04,8.96,36
2003_06_22,2003,6,22,0.392307692,0,0,0,28.8,33.42,24.74,9.64,28.1
2003_06_23,2003,6,23,7.230769231,0,0,0,27.9,33.94,24.72,7.36,36
2003_06_24,2003,6,24,10.00384615,0,0,0,26.6,31.52,24.7,5.88,45
2003_06_25,2003,6,25,13.41923077,0,0,0,25.775,29.8,23.84,6.4,33.5
2003_06_26,2003,6,26,1.715384615,0,0,0,26.85,31.42,23.86,6.26,48.6
2003_06_27,2003,6,27,5.65,0,0,0,26.475,31.02,23.82,5.98,19.8
2003_06_28,2003,6,28,0.007692308,0,0,0,27.575,33.1,23.98,7.2,32
2003_06_29,2003,6,29,5.346153846,0,0,0,26.95,30.9,24.16,9.24,38.5
2003_06_30,2003,6,30,0.388461538,0,0,0,27.9,32.6,24.12,7.78,29.5
2003_07_01,2003,7,1,3.165384615,0,0,0,26.675,32.18,23.8,8.32,28.8
2003_07_02,2003,7,2,0.411538462,0,0,0,27.125,32.76,23.52,6.5,25.2
2003_07_03,2003,7,3,11.67307692,0,0,0,26.675,31.66,23.88,5.88,25.2
2003_07_04,2003,7,4,19.68076923,0,0,0,25.05,26.42,23.38,5.38,22
2003_07_05,2003,7,5,0,0,0,0,27.575,32.3,24.36,6.92,19.4
2003_07_06,2003,7,6,0,0,0,0,28.4,32.68,25.22,10.18,33.5
2003_07_07,2003,7,7,0.669230769,0,0,0,28.375,32.7,24.3,11.48,54
2003_07_08,2003,7,8,3.653846154,0,0,0,27.025,30.7,23.62,7.82,41.4
2003_07_09,2003,7,9,1.580769231,0,0,0,28.125,32.72,23.96,10.18,32.4
2003_07_10,2003,7,10,7.603846154,0,0,0,27.075,31.86,24.54,7.62,30.6
2003_07_11,2003,7,11,23.60769231,0,0,0,26.725,32.3,22.66,8.48,32.4
2003_07_12,2003,7,12,21.86153846,0,0,0,25.15,28.68,23.26,8.32,44.6
2003_07_13,2003,7,13,0.007692308,0,0,0,26.5,30.84,23.42,5.86,18.4
2003_07_14,2003,7,14,2.546153846,0,0,0,27.725,32.24,24.4,6.38,24.1
2003_07_15,2003,7,15,17.20384615,0,0,0,27.3,32.36,24.3,7.88,32.4
2003_07_16,2003,7,16,35.67692308,0,0,0,27.225,31.74,23.9,8.54,27.4
2003_07_17,2003,7,17,2.146153846,0,0,0,26.4,28.82,24.28,8.96,25.9
2003_07_18,2003,7,18,18.8,0,0,0,28.15,32.8,24.58,9.04,24.1
2003_07_19,2003,7,19,13.55769231,0,0,0,28,31.22,24.06,10.1,36
2003_07_20,2003,7,20,0.292307692,0,0,0,27.45,30.94,23.26,8.98,31
2003_07_21,2003,7,21,0.219230769,0,0,0,27.975,31.82,24.88,10.84,30.6
2003_07_22,2003,7,22,0,0,0,0,28.075,31.46,25.36,11.1,28.8
2003_07_23,2003,7,23,0,0,0,0,28.5,32.34,25.46,12.08,32.4
2003_07_24,2003,7,24,0.226923077,0,0,0,28.3,32.56,25.22,10.32,38.2
2003_07_25,2003,7,25,4.569230769,0,0,0,27.85,32.06,25.52,8.12,36
2003_07_26,2003,7,26,0.907692308,0,0,0,27.825,32.3,25.74,7.46,36.7
2003_07_27,2003,7,27,9.853846154,0,0,0,28.025,33.52,24.94,9.08,45
2003_07_28,2003,7,28,0.003846154,0,0,0,28.675,33.24,25.02,9.58,31.3
2003_07_29,2003,7,29,1.711538462,0,0,0,28.35,32.4,25.38,8.58,34.9
2003_07_30,2003,7,30,0,0,0,0,28.75,33.02,25.06,8.56,27.4
2003_07_31,2003,7,31,0,0,0,0,28.425,33.28,24.24,7.4,20.9
2003_08_01,2003,8,1,0,0,0,0,28.6,32.78,25.04,8.9,28.8
2003_08_02,2003,8,2,1.446153846,0,0,0,28.375,33,24.52,8.68,33.1
2003_08_03,2003,8,3,0.123076923,0,0,0,28.025,32.34,24.84,7.44,28.8
2003_08_04,2003,8,4,0.3,0,0,0,28.675,32.88,25.82,8.54,26.6
2003_08_05,2003,8,5,10.86923077,0,0,0,26.275,29.84,23.86,6.56,32.4
2003_08_06,2003,8,6,0.984615385,0,0,0,27.53333333,31.74,23.94,8.1,28.8
2003_08_07,2003,8,7,0.484615385,0,0,0,28.4,32.64,25.38,8.16,28.8
2003_08_08,2003,8,8,0.003846154,0,0,0,28.95,33.02,25.5,9.52,27.7
2003_08_09,2003,8,9,0.05,0,0,0,28.825,32.36,25.38,9.1,29.5
2003_08_10,2003,8,10,0.019230769,0,0,0,29.175,33.64,25.76,8.8,36
2003_08_11,2003,8,11,1.230769231,0,0,0,28.5,33.28,25.56,7.4,39.6
2003_08_12,2003,8,12,38.94230769,0,0,0,27.875,33.66,25.42,7.14,34.9
2003_08_13,2003,8,13,13.48461538,0,0,0,26.625,32.16,24.06,6.96,32
2003_08_14,2003,8,14,16.71923077,0,0,0,25.925,30.46,23.62,4.78,28.8
2003_08_15,2003,8,15,11.21923077,0,0,0,26.625,31.34,23.88,6.64,26.3
2003_08_16,2003,8,16,55.08846154,0,0,0,26.225,29.4,23.72,7.3,38.9
2003_08_17,2003,8,17,0,0,0,0,26.4,30.04,23.62,11.34,36
2003_08_18,2003,8,18,0,0,0,0,28.325,32.76,25.12,7.74,27.4
2003_08_19,2003,8,19,0,0,0,0,29.2,33.2,26.02,9.14,27.7
2003_08_20,2003,8,20,2.638461538,0,0,0,29.7,34.4,25.6,8.64,30.6
2003_08_21,2003,8,21,0,0,0,0,29.1,32.94,25.4,10.7,27.7
2003_08_22,2003,8,22,0.038461538,0,0,0,29.35,33.22,26.08,10.6,34.2
2003_08_23,2003,8,23,27.83461538,0,0,0,27.375,33.22,23.52,7.7,41.4
2003_08_24,2003,8,24,0.019230769,0,0,0,27.6,31.96,24.02,7.06,24.8
2003_08_25,2003,8,25,9.7,0,0,0,26.95,32.32,24.08,7.68,47.5
2003_08_26,2003,8,26,13.56538462,0,0,0,27,33.04,23.78,7.66,38.9
2003_08_27,2003,8,27,2.426923077,0,0,0,27.075,31.48,24,5.36,24.8
2003_08_28,2003,8,28,0.25,0,0,0,26.45,29.94,23.66,8.66,26.6
2003_08_29,2003,8,29,11.37692308,0,0,0,27.475,32.04,24.26,7.12,25.2
2003_08_30,2003,8,30,31.07692308,0,0,0,26.95,31.24,23.3,8,39.6
2003_08_31,2003,8,31,0,0,0,0,26.35,30.32,22.96,8.08,44.3
2003_09_01,2003,9,1,15.55,0,0,0,28.125,33.18,23.6,7.88,27
2003_09_02,2003,9,2,8.611538462,0,0,0,25.35,28.7,21.8,9.3,48.2
2003_09_03,2003,9,3,0,0,0,0,27.825,32.72,23.98,8.66,23.4
2003_09_04,2003,9,4,1.342307692,0,0,0,28.15,32.2,24.58,11.36,45.7
2003_09_05,2003,9,5,0.053846154,0,0,0,27.85,31.86,24.82,7.9,36
2003_09_06,2003,9,6,0,0,0,0,28.4,32.64,24.86,8.92,32.4
2003_09_07,2003,9,7,1.438461538,0,0,0,29.175,33.32,25.72,10.8,29.5
2003_09_08,2003,9,8,16.88461538,0,0,0,28.075,32.84,24.1,10.64,33.1
2003_09_09,2003,9,9,0,0,0,0,26,29.24,23.46,12.24,34.6
2003_09_10,2003,9,10,0.584615385,0,0,0,26.9,31.44,24,7.28,32.4
2003_09_11,2003,9,11,10.03076923,0,0,0,26.825,32.26,23.4,8.2,36.4
2003_09_12,2003,9,12,20.98461538,0,0,0,26.4,29.5,23.54,6.14,40.7
2003_09_13,2003,9,13,0.026923077,0,0,0,27.825,31.42,25.26,7.6,22
2003_09_14,2003,9,14,11.97307692,0,0,0,26.3,31.98,23.78,5.4,32.4
2003_09_15,2003,9,15,11.44230769,0,0,0,25.875,31.06,23.42,5.08,23.4
2003_09_16,2003,9,16,0,0,0,0,27.725,32.5,24.18,7.86,24.5
2003_09_17,2003,9,17,10.62307692,0,0,0,26.35,32.02,23.44,6.84,33.8
2003_09_18,2003,9,18,27.51923077,0,0,0,25.225,30.02,22.74,4.48,43.2
2003_09_19,2003,9,19,0.003846154,0,0,0,27.55,32.52,23.8,8.54,24.8
2003_09_20,2003,9,20,22.73461538,0,0,0,25,27.06,22.66,6.34,37.8
2003_09_21,2003,9,21,7.803846154,0,0,0,26.175,30.68,22.84,7.68,31
2003_09_22,2003,9,22,0.007692308,0,0,0,28.075,32.44,24.52,8.72,25.6
2003_09_23,2003,9,23,1.607692308,0,0,0,27.35,31.64,24.74,6.04,34.2
2003_09_24,2003,9,24,17.22307692,0,0,0,27.375,32.14,24.62,10.26,33.1
2003_09_25,2003,9,25,69.38846154,0,0,0,25,28.8,23.16,7.5,30.6
2003_09_26,2003,9,26,0,0,0,0,27.675,32.14,23.28,8.74,25.2
2003_09_27,2003,9,27,1.373076923,0,0,0,27.55,32.02,24.58,5.88,29.9
2003_09_28,2003,9,28,1.346153846,0,0,0,27.25,31.78,24.58,5,34.2
2003_09_29,2003,9,29,11.36153846,0,0,0,26.575,31.9,24.08,6.46,37.4
2003_09_30,2003,9,30,2.434615385,0,0,0,27.1,31.24,23.64,6.14,34.2
2003_10_01,2003,10,1,0,0,0,0,28.175,32.44,24.26,8.86,25.2
2003_10_02,2003,10,2,2.330769231,0,0,0,28.725,32.86,24.8,7.3,28.1
2003_10_03,2003,10,3,1.715384615,0,0,0,28.95,33.32,24.72,8.7,28.4
2003_10_04,2003,10,4,6.046153846,0,0,0,28.075,31.7,24.76,8.56,27.4
2003_10_05,2003,10,5,3.2,0,0,0,27.95,32.78,24.3,8.94,34.6
2003_10_06,2003,10,6,17.30384615,0,0,0,25.825,28.06,24.38,7.12,33.5
2003_10_07,2003,10,7,0.988461538,0,0,0,27.8,32.38,24.3,9.88,28.8
2003_10_08,2003,10,8,26.92692308,0,0,0,25.5,26.92,24.18,4.54,22.3
2003_10_09,2003,10,9,14.16538462,0,0,0,27.35,31.84,23.9,7.68,34.2
2003_10_10,2003,10,10,76.18076923,0,0,0,27.025,31.64,22.9,8.18,42.1
2003_10_11,2003,10,11,22.16153846,0,0,0,26.675,30.98,22.8,7.96,29.5
2003_10_12,2003,10,12,8.930769231,0,0,0,24.925,26.74,23.06,5.7,45
2003_10_13,2003,10,13,14.18846154,0,0,0,27,30.38,24.06,6.66,25.9
2003_10_14,2003,10,14,10.85384615,0,0,0,27.175,32.14,23.4,6.08,23.8
2003_10_15,2003,10,15,1.696153846,0,0,0,26.3,30.96,22.6,6.42,42.1
2003_10_16,2003,10,16,0.003846154,0,0,0,28.475,33.92,23.76,6.48,29.5
2003_10_17,2003,10,17,32.9,0,0,0,26.2,30.86,23.08,5.78,45
2003_10_18,2003,10,18,0.003846154,0,0,0,27.1,31.14,23.74,7.76,25.6
2003_10_19,2003,10,19,35.46538462,0,0,0,27.825,32.5,24.04,8.76,29.2
2003_10_20,2003,10,20,0.569230769,0,0,0,26.95,31.68,23.28,9.24,46.8
2003_10_21,2003,10,21,2.238461538,0,0,0,28.675,32.38,25.22,10.32,34.2
2003_10_22,2003,10,22,0.003846154,0,0,0,29.325,33.38,25.74,8.94,23.8
2003_10_23,2003,10,23,0,0,0,0,28.975,32.76,25.36,9.04,21.6
2003_10_24,2003,10,24,0.607692308,0,0,0,28.9,33.08,25.24,8.3,31
2003_10_25,2003,10,25,2.976923077,0,0,0,26.35,29.44,23.9,4.58,15.1
2003_10_26,2003,10,26,1.326923077,0,0,0,27.875,32.22,24.06,7.14,28.8
2003_10_27,2003,10,27,12.03461538,0,0,0,26.7,31.76,23.6,7.9,41.4
2003_10_28,2003,10,28,1.992307692,0,0,0,25.675,29.18,23.1,4.92,32.8
2003_10_29,2003,10,29,6.95,0,0,0,26.7,32.5,23.24,5.4,27.7
2003_10_30,2003,10,30,7.323076923,0,0,0,26.325,32.54,23.08,7.98,32.4
2003_10_31,2003,10,31,8.288461538,0,0,0,26.875,33.04,23.12,7.24,36
2003_11_01,2003,11,1,3.061538462,0,0,0,26.625,31.64,23.08,7.08,47.9
2003_11_02,2003,11,2,7.35,0,0,0,26.575,31.62,24.26,4.8,30.2
2003_11_03,2003,11,3,0.880769231,0,0,0,27.225,32.64,23.84,5.48,30.2
2003_11_04,2003,11,4,6.988461538,0,0,0,27.35,32.84,23.72,5.12,25.2
2003_11_05,2003,11,5,21.61153846,0,0,0,26.1,31.66,23.72,6.68,34.6
2003_11_06,2003,11,6,3.923076923,0,0,0,26.325,32.44,23.62,4.7,36.7
2003_11_07,2003,11,7,0.007692308,0,0,0,27.775,32.88,23.86,6.68,33.1
2003_11_08,2003,11,8,4.3,0,0,0,27.5,32.6,24.04,5.56,23
2003_11_09,2003,11,9,16.95769231,0,0,0,27.225,32.12,24.38,5.5,20.9
2003_11_10,2003,11,10,9.192307692,0,0,0,27.05,32.64,24.22,4.24,18.4
2003_11_11,2003,11,11,5.2,0,0,0,26.575,32.62,24.06,5.72,25.6
2003_11_12,2003,11,12,2.711538462,0,0,0,28.15,33.48,23.94,5.84,23.4
2003_11_13,2003,11,13,0,0,0,0,28.65,33.58,24.06,5.62,22.3
2003_11_14,2003,11,14,8.815384615,0,0,0,27.975,32.98,25.14,5.68,25.2
2003_11_15,2003,11,15,3.442307692,0,0,0,27.8,33.06,24.5,5.86,30.6
2003_11_16,2003,11,16,4.569230769,0,0,0,27.1,30.02,24.66,6.1,23.4
2003_11_17,2003,11,17,14.53076923,0,0,0,27.775,32.22,24.88,5.7,29.9
2003_11_18,2003,11,18,8.488461538,0,0,0,26.825,31.32,24.74,4.26,25.9
2003_11_19,2003,11,19,4.980769231,0,0,0,26.9,31.52,23.94,5.74,40.3
2003_11_20,2003,11,20,1.930769231,0,0,0,26.2,29.48,23.32,3,25.9
2003_11_21,2003,11,21,11.23076923,0,0,0,25.825,27,24.28,5.7,30.6
2003_11_22,2003,11,22,8.957692308,0,0,0,26.825,32.06,23.84,5.66,28.8
2003_11_23,2003,11,23,1.723076923,0,0,0,27.625,33.28,23.6,6.1,32.4
2003_11_24,2003,11,24,7.75,0,0,0,26.975,31.38,24.32,6.06,21.6
2003_11_25,2003,11,25,4.473076923,0,0,0,25.825,28.46,24.26,6.34,22.3
2003_11_26,2003,11,26,0,0,0,0,26.675,30.98,24.08,9.3,31
2003_11_27,2003,11,27,0.6,0,0,0,26.15,28.4,24.14,9.38,34.2
2003_11_28,2003,11,28,36.14230769,0,0,0,25.5,31.5,23.48,6.28,30.6
2003_11_29,2003,11,29,11.16153846,0,0,0,25.775,29.66,23.44,7.24,20.2
2003_11_30,2003,11,30,1.215384615,0,0,0,26.225,28.94,23.7,5.1,19.8
2003_12_01,2003,12,1,6.423076923,0,0,0,26.575,31.6,23.96,4.74,25.2
2003_12_02,2003,12,2,7.7,0,0,0,26.125,28.92,24.04,6.1,18
2003_12_03,2003,12,3,0.015384615,0,0,0,27.2,31.56,24.12,11.62,30.6
2003_12_04,2003,12,4,0.1,0,0,0,25.75,27.42,24.16,10.24,28.8
2003_12_05,2003,12,5,3.576923077,0,0,0,27.075,31.54,24.14,8.92,30.6
2003_12_06,2003,12,6,0.65,0,0,0,27.4,31.22,24.54,11.6,27
2003_12_07,2003,12,7,9.896153846,0,0,0,27.075,31.44,24.24,9.82,32.4
2003_12_08,2003,12,8,0.223076923,0,0,0,26,28,24.2,7.96,25.2
2003_12_09,2003,12,9,37.13846154,0,0,0,26.475,30.9,24.3,4.98,32.4
2003_12_10,2003,12,10,28.76538462,0,0,0,25.075,27.82,23.3,4.04,34.9
2003_12_11,2003,12,11,43.41923077,0,0,0,26.3,32.26,23.22,10.64,31
2003_12_12,2003,12,12,6.334615385,0,0,0,25.9,29.92,23.86,8.1,32
2003_12_13,2003,12,13,2.046153846,0,0,0,24.7,25.56,23.68,8.12,23.8
2003_12_14,2003,12,14,8.807692308,0,0,0,25.625,29.32,23.58,5.92,28.8
2003_12_15,2003,12,15,0.115384615,0,0,0,26.725,30.9,23.92,12.32,30.6
2003_12_16,2003,12,16,33.92692308,0,0,0,26.45,32.04,23.24,7.74,27
2003_12_17,2003,12,17,0.684615385,0,0,0,26.2,29.46,23.04,6.08,41.4
2003_12_18,2003,12,18,11.18846154,0,0,0,26.275,31.08,23.76,6.88,32.4
2003_12_19,2003,12,19,14.48461538,0,0,0,26.65,30.46,23.56,9.82,27
2003_12_20,2003,12,20,74.75384615,0,0,0,25.35,30.12,23.04,11.14,34.6
2003_12_21,2003,12,21,2.1,0,0,0,24.475,25.68,22.98,10.36,33.1
2003_12_22,2003,12,22,0.192307692,0,0,0,26.65,30.26,23.72,15.16,49
2003_12_23,2003,12,23,2.515384615,0,0,0,27.025,31.34,23.74,15.3,37.8
2003_12_24,2003,12,24,0.003846154,0,0,0,27.025,31.86,23.24,13.2,34.6
2003_12_25,2003,12,25,11.17692308,0,0,0,27.225,32.5,23.64,12.58,31.7
2003_12_26,2003,12,26,2.888461538,0,0,0,26.875,30.92,24.28,13.2,31
2003_12_27,2003,12,27,0.076923077,0,0,0,27.175,30.88,24.8,17.46,37.8
2003_12_28,2003,12,28,0.446153846,0,0,0,26.65,29.98,23.94,13.58,34.9
2003_12_29,2003,12,29,0,0,0,0,27.3,31.62,23.6,14.88,34.6
2003_12_30,2003,12,30,1.911538462,0,0,0,27.175,31.44,23.98,14.78,35.3
2003_12_31,2003,12,31,0.030769231,0,0,0,27.425,32.04,23.98,15.7,40.3
2004_01_01,2004,1,1,0.073076923,0,0,0,27.3,32.24,23.62,12.9,32.4
2004_01_02,2004,1,2,0.215384615,0,0,0,27.45,32.34,23.48,13.1,32.4
2004_01_03,2004,1,3,0.069230769,0,0,0,27.675,32.42,24.18,15.88,37.8
2004_01_04,2004,1,4,0.365384615,0,0,0,27.6,32.3,24.32,13.54,41.4
2004_01_05,2004,1,5,9.057692308,0,0,0,26.3,30.72,24.14,10.5,34.2
2004_01_06,2004,1,6,1.3,0,0,0,27.3,31.84,24.04,13.14,36
2004_01_07,2004,1,7,9.734615385,0,0,0,27.2,32.38,23.6,12.32,34.2
2004_01_08,2004,1,8,1.288461538,0,0,0,27.625,32.38,24.38,13.66,36
2004_01_09,2004,1,9,1.788461538,0,0,0,26.95,31.08,24.32,11.52,31
2004_01_10,2004,1,10,4.853846154,0,0,0,27.575,32.24,24.52,13.62,34.2
2004_01_11,2004,1,11,14.56923077,0,0,0,26.4,29.3,24.46,12.06,33.8
2004_01_12,2004,1,12,0,0,0,0,27.425,31.26,24.6,15.38,33.1
2004_01_13,2004,1,13,0.053846154,0,0,0,27.55,31.66,24.72,15.68,39.6
2004_01_14,2004,1,14,2.480769231,0,0,0,27.175,32.04,24.1,12.7,34.2
2004_01_15,2004,1,15,0.007692308,0,0,0,27.375,31.96,23.94,13.86,32.8
2004_01_16,2004,1,16,0,0,0,0,27.8,32.58,24.08,12.6,34.2
2004_01_17,2004,1,17,0,0,0,0,27.825,32.28,24.32,15.04,34.2
2004_01_18,2004,1,18,7.123076923,0,0,0,27.425,32.64,24.46,11.94,28.8
2004_01_19,2004,1,19,82.96153846,0,0,0,25.6,30.96,22.84,8.9,37.4
2004_01_20,2004,1,20,0.711538462,0,0,0,26.575,31.78,22.78,11.44,33.5
2004_01_21,2004,1,21,0.007692308,0,0,0,27.375,32.42,23.58,13.26,36
2004_01_22,2004,1,22,0.023076923,0,0,0,27.375,32.1,23.88,15,35.3
2004_01_23,2004,1,23,36.31153846,0,0,0,25.475,27.52,23.66,9.34,43.2
2004_01_24,2004,1,24,143.5576923,0,0,0,24.45,27.74,22.44,10.04,50.4
2004_01_25,2004,1,25,3.188461538,0,0,0,24.65,27.76,22.24,15.8,39.6
2004_01_26,2004,1,26,7.230769231,0,0,0,25.45,28.4,23.58,10.38,32.4
2004_01_27,2004,1,27,23.86538462,0,0,0,25.05,28.56,23.54,7.52,36
2004_01_28,2004,1,28,42.39615385,0,0,0,25.75,30.1,23.8,6.98,29.2
2004_01_29,2004,1,29,46.11923077,0,0,0,24.15,25.94,22.4,5.46,27.4
2004_01_30,2004,1,30,0.011538462,0,0,0,26.15,30.54,22.92,8.04,25.9
2004_01_31,2004,1,31,0,0,0,0,27.45,31.96,24.26,8.76,27
2004_02_01,2004,2,1,10.61923077,0,0,0,26.925,31.22,23.94,8.56,25.2
2004_02_02,2004,2,2,6.288461538,0,0,0,25.825,30.02,23.22,5.96,30.6
2004_02_03,2004,2,3,0.438461538,0,0,0,26.8,31.3,23.98,6.2,22.7
2004_02_04,2004,2,4,0.461538462,0,0,0,27.675,33.02,24.1,7.18,28.8
2004_02_05,2004,2,5,11.65,0,0,0,27.475,32.42,24.76,8.6,32
2004_02_06,2004,2,6,11.86538462,0,0,0,26.775,32.28,24.02,7.4,28.8
2004_02_07,2004,2,7,0,0,0,0,27.15,31.12,24.54,14.34,34.2
2004_02_08,2004,2,8,0.003846154,0,0,0,27.33333333,32.04,24.2,11.84,34.6
2004_02_09,2004,2,9,0.084615385,0,0,0,27.35,32.4,23.92,11.52,32.4
2004_02_10,2004,2,10,0,0,0,0,27.4,31.94,24.14,14.52,39.6
2004_02_11,2004,2,11,0.007692308,0,0,0,27.65,32.04,24.62,17.2,43.9
2004_02_12,2004,2,12,0,0,0,0,27.55,32.44,24.06,16.62,37.8
2004_02_13,2004,2,13,0,0,0,0,27.075,31.8,23.98,15.88,41.4
2004_02_14,2004,2,14,0,0,0,0,27.45,31.88,24.3,16.8,39.6
2004_02_15,2004,2,15,0.465384615,0,0,0,27.35,32.24,24.06,14.5,34.6
2004_02_16,2004,2,16,0,0,0,0,27.15,31.78,23.94,17.54,36.7
2004_02_17,2004,2,17,0.926923077,0,0,0,27.1,32.4,23.86,15.94,34.2
2004_02_18,2004,2,18,0.492307692,0,0,0,26.875,30.92,24.2,16.04,35.3
2004_02_19,2004,2,19,0.557692308,0,0,0,27.3,32.14,24.24,15.82,34.6
2004_02_20,2004,2,20,0.007692308,0,0,0,27.775,32.34,24.38,16.12,33.8
2004_02_21,2004,2,21,0,0,0,0,27.875,32.9,24.2,14.78,32.4
2004_02_22,2004,2,22,0,0,0,0,27.625,33.42,23.4,12.38,35.3
2004_02_23,2004,2,23,0,0,0,0,28.175,33.24,24.08,14.82,34.2
2004_02_24,2004,2,24,0.011538462,0,0,0,27.775,33.86,23.5,10.22,29.5
2004_02_25,2004,2,25,0,0,0,0,28.1,34.14,24.14,11.16,27
2004_02_26,2004,2,26,0,0,0,0,27.85,33.1,24.56,11.98,31.7
2004_02_27,2004,2,27,0,0,0,0,27.6,33.04,23.48,13.38,33.5
2004_02_28,2004,2,28,3.407692308,0,0,0,27.475,33.46,24.04,8.02,26.6
2004_02_29,2004,2,29,13.76153846,0,0,0,27.675,33.72,24.56,11.32,37.8
2004_03_01,2004,3,1,1.142307692,0,0,0,27.95,33.08,24.56,8.2,29.9
2004_03_02,2004,3,2,7.861538462,0,0,0,27.4,33.24,24.4,7.46,27
2004_03_03,2004,3,3,0.646153846,0,0,0,27.525,32.6,24.82,6.28,28.1
2004_03_04,2004,3,4,28.02307692,0,0,0,26.75,31.96,23.44,7.04,46.8
2004_03_05,2004,3,5,0.057692308,0,0,0,27.975,32.76,24.78,12.82,31.3
2004_03_06,2004,3,6,0.138461538,0,0,0,27.85,32.54,24.84,14.68,37.8
2004_03_07,2004,3,7,10.13076923,0,0,0,27.825,31.84,24.9,16.48,36
2004_03_08,2004,3,8,219.2884615,0,0,0,24.725,25.94,22.44,8.58,43.2
2004_03_09,2004,3,9,2.130769231,0,0,0,25.3,28.78,22.68,13.1,33.5
2004_03_10,2004,3,10,19.66923077,0,0,0,26.725,31.12,24.22,9.28,25.2
2004_03_11,2004,3,11,22.68846154,0,0,0,25.2,30.08,23.14,7.2,32.4
2004_03_12,2004,3,12,23.63076923,0,0,0,27.25,33.64,23.12,7.18,30.6
2004_03_13,2004,3,13,11.80769231,0,0,0,27.35,33.88,23.4,7.58,30.6
2004_03_14,2004,3,14,4.069230769,0,0,0,27.9,32.72,25.06,8.04,34.9
2004_03_15,2004,3,15,10.94615385,0,0,0,26.925,32.42,23.86,5.66,34.2
2004_03_16,2004,3,16,18.50769231,0,0,0,25.775,29.68,23.5,5.26,30.6
2004_03_17,2004,3,17,1.319230769,0,0,0,27.45,32.44,23.86,8.12,28.8
2004_03_18,2004,3,18,2.653846154,0,0,0,27.95,33.52,25.06,5.08,25.2
2004_03_19,2004,3,19,13.26923077,0,0,0,28.225,32.94,24.36,7.44,27
2004_03_20,2004,3,20,0.096153846,0,0,0,27.35,32.52,22.48,7.4,32.4
2004_03_21,2004,3,21,12.72692308,0,0,0,27.6,33.48,24,5.7,21.6
2004_03_22,2004,3,22,0.9,0,0,0,27.975,32.5,24.62,5.88,20.2
2004_03_23,2004,3,23,5.996153846,0,0,0,27.625,32.82,24.62,5.74,32.4
2004_03_24,2004,3,24,0.669230769,0,0,0,28.55,33.24,25,5.04,34.2
2004_03_25,2004,3,25,4.15,0,0,0,28.375,31.94,25.22,4.94,18
2004_03_26,2004,3,26,13.43076923,0,0,0,27.775,34,23.58,5.16,50.4
2004_03_27,2004,3,27,2.246153846,0,0,0,27.525,33.36,24.6,4.5,25.2
2004_03_28,2004,3,28,7.473076923,0,0,0,28.1,34.42,24.46,5.96,27.4
2004_03_29,2004,3,29,1.4,0,0,0,28.65,33.68,24.98,5.32,30.6
2004_03_30,2004,3,30,13.32692308,0,0,0,28,33.84,24.96,5.62,32.4
2004_03_31,2004,3,31,0.611538462,0,0,0,28.725,33.8,25.74,6.54,28.8
2004_04_01,2004,4,1,7.484615385,0,0,0,28.075,33.62,25,5.98,32.4
2004_04_02,2004,4,2,19.91153846,0,0,0,27,32.24,24.46,5.42,45
2004_04_03,2004,4,3,3.65,0,0,0,27.95,33.44,24.62,5.28,32.4
2004_04_04,2004,4,4,29.26923077,0,0,0,26.175,31.9,23.84,5.12,25.2
2004_04_05,2004,4,5,8.876923077,0,0,0,26.525,32.8,24,4.66,27
2004_04_06,2004,4,6,10.06923077,0,0,0,27.475,33.92,24.24,4.96,32.4
2004_04_07,2004,4,7,7.196153846,0,0,0,27.55,32.66,24.92,5.54,30.6
2004_04_08,2004,4,8,0.211538462,0,0,0,28.175,32.88,24.42,5.86,22.7
2004_04_09,2004,4,9,2.738461538,0,0,0,27.925,33.1,24.6,5.04,27.7
2004_04_10,2004,4,10,6.219230769,0,0,0,28.425,33.78,25.04,6.52,35.3
2004_04_11,2004,4,11,10.51538462,0,0,0,27.925,33.72,24.12,5.14,28.8
2004_04_12,2004,4,12,0,0,0,0,28.775,34.12,24.6,5.78,30.6
2004_04_13,2004,4,13,0.657692308,0,0,0,29.45,33.94,25.48,6.18,25.9
2004_04_14,2004,4,14,0.853846154,0,0,0,29.45,34.24,26.1,5.96,30.6
2004_04_15,2004,4,15,0.85,0,0,0,29.325,33.98,25.92,6.34,45
2004_04_16,2004,4,16,0.4,0,0,0,29.15,33.64,26.22,5.44,27.4
2004_04_17,2004,4,17,0.007692308,0,0,0,29.5,34.16,25.4,6.92,31.3
2004_04_18,2004,4,18,2.426923077,0,0,0,29.6,34.34,26.06,6.48,32.8
2004_04_19,2004,4,19,1.103846154,0,0,0,28.875,33.7,25.14,5.2,31.3
2004_04_20,2004,4,20,2.988461538,0,0,0,29.475,34.88,25.44,6.16,24.1
2004_04_21,2004,4,21,2.676923077,0,0,0,29.375,35.18,25.04,5.8,27.4
2004_04_22,2004,4,22,9.361538462,0,0,0,27.975,33.94,25.2,4.64,46.8
